"x" "y" "pop"
346284.40045 6790867.13 2
346285.43045 6790243.9 1
346286.49045 6790905.03 2
346286.51045 6793712.12 3
346290.61045 6793888.74 5
346294.25045 6789074.64 4
346294.40045 6793952 3.5
346295.18045 6793841.76 3
346295.54045 6790481.01 2
346295.71045 6790201.84 4
346296.74045 6790316.93 3
346297.65045 6790774.42 3
346298.50045 6790884.82 1
346298.76045 6790265.09 3
346303.73045 6790257.04 1
346305.05045 6790486.55 4
346305.13045 6790313.99 2
346305.26045 6790121.74 2
346306.00045 6790933.56 3
346306.64045 6790537.32 3
346307.40045 6790194.69 3
346308.05046 6787843.86 2
346308.18045 6790051.07 2
346308.70045 6790767.87 4
346309.88045 6793780.46 3
346310.71045 6790847.83 3
346313.46045 6792826.83 7
346313.48045 6790815.66 1
346315.99045 6790838.82 2
346316.12045 6790282.91 4
346316.24045 6790314.25 1
346316.99045 6790111.72 2
346317.38045 6793738.82 4
346317.46045 6790555.6 1
346317.92045 6793757.19 4
346319.18045 6793908.1 4
346319.53045 6790799.83 3
346321.79045 6790572.57 1
346322.29045 6790008.37 4
346322.41045 6790591.94 1
346322.74045 6793683.42 3
346323.13045 6790476.1 3
346323.65045 6790176.29 2
346324.57045 6790624.26 2
346326.61045 6790641.93 3
346326.72045 6790858.05 3
346326.87045 6790023.8 2
346326.92045 6790669.65 2
346327.55045 6790257.23 2
346327.67045 6790103.51 4
346328.99045 6790319.32 1
346330.46045 6790705.13 4
346330.47045 6790568.64 1
346331.04045 6790593.06 2
346331.45045 6793784.36 2
346331.53045 6790227.38 2
346332.56045 6790165.62 2
346332.66045 6790534.93 3
346333.56045 6790947.38 2
346333.82045 6790624.55 1
346334.20045 6790615.13 2
346334.60045 6793879.62 2
346336.19045 6790640.63 3
346338.49045 6790660.68 2
346338.93045 6790093.03 2
346339.74045 6790232.5 2
346339.75045 6790713.38 4
346340.16045 6790865.01 4
346340.81045 6790323.7 2
346341.26045 6790214.22 2
346341.58045 6790934.99 2
346342.25045 6789988.78 2
346343.02045 6792786.12 6
346343.05045 6793196.23 2
346345.82045 6790702.5 1
346346.39045 6790951.01 4
346346.89045 6790923.23 2
346348.84045 6790152.02 2
346350.93045 6790202 1
346351.05045 6790738.27 4
346351.76045 6790216.94 4
346351.79045 6793903.57 4
346354.25045 6790750.18 3
346357.57045 6793730.84 2
346358.09045 6790208.03 1
346359.30045 6790790.36 2
346360.00045 6790700.23 1
346360.10045 6790767.9 2
346360.79045 6790189.35 1
346361.90045 6790139.01 3
346361.94045 6790975.99 1
346362.68045 6789960.92 3
346362.81045 6790325.41 2
346363.73045 6790710.54 2
346363.87045 6790735.83 1
346364.87045 6790807.65 4
346365.30045 6790750.12 2
346367.69045 6790784.93 1
346367.88045 6790557.35 2
346368.28045 6790104.81 4
346369.01045 6790195.91 1
346369.59045 6793995.89 2
346369.60045 6790870.52 3
346369.69045 6790766.65 4
346369.80045 6790823.9 2
346370.91045 6790177.46 2
346373.09045 6790803.78 1
346374.13045 6790328.1 2
346374.79045 6792408.81 10
346375.41045 6790841.76 1
346375.76045 6792854.77 3
346377.15045 6790890.81 3
346377.73045 6789952.11 2
346378.76045 6790185.04 1
346378.89045 6790822.26 1
346379.44045 6790698.74 1
346381.28045 6790582.15 2
346381.78045 6790167.05 2
346382.71045 6790049.4 2
346382.94045 6790249.46 1
346383.23045 6790839.04 5
346384.68045 6790599.45 2
346385.89045 6790636.01 4
346386.59045 6793918.4 3
346386.73045 6790060.42 2
346386.90045 6790650.54 2
346387.20045 6790621.84 2
346387.83045 6790034.69 1
346388.10045 6790175.76 1
346388.48045 6790855.55 2
346388.52045 6790564.42 1
346388.62045 6790262.35 1
346391.51045 6789948.63 4
346393.27045 6790629.99 4
346394.52045 6790647.05 3.5
346394.68045 6790017.43 2
346395.86045 6790277.14 2
346396.67045 6790664.01 1
346397.31045 6790921.21 1
346397.46045 6790135.82 6
346398.23045 6790166.61 2
346399.00045 6790599.61 2
346401.86045 6789905.06 2
346403.09045 6790075.83 2
346405.46045 6790005.33 2
346406.94045 6790096.98 3
346408.93045 6790330.44 3
346409.63045 6790280.75 4
346410.50045 6790469.58 2
346412.94046 6787834.54 2
346415.10045 6790150.6 1
346416.18045 6790714.24 4
346416.28045 6790787.59 2
346416.36045 6790698.6 3
346417.66045 6789914.13 4
346417.73045 6790731.43 1
346418.25045 6790742.56 2
346418.72045 6790923.45 2
346421.22046 6787700.02 3
346422.05045 6790895.49 2
346422.35045 6790055.93 2
346423.63045 6789330.37 4
346425.82045 6790192.66 2
346425.91045 6790331.44 1
346426.31045 6790798.36 3
346429.31045 6789991.78 1
346429.73045 6790282.93 3
346429.88045 6790007.23 2
346430.06045 6790733.36 2
346430.34045 6790608.96 2
346430.44045 6790342.26 1
346431.08045 6790469.77 1
346431.18045 6790816.39 1
346432.51045 6790350.92 2
346432.99045 6790369.15 2
346434.00045 6789933.93 5
346434.65045 6790948.73 2
346434.94045 6790832.55 2
346435.00045 6790381.37 2
346435.32045 6790055.04 5
346436.73045 6790134.34 2
346437.17045 6790201.77 1
346437.49045 6790635.63 3
346437.53045 6790784.17 2
346437.62045 6790399.97 2
346437.71045 6790848.55 2
346438.45045 6790418.18 3
346438.56045 6788501.84 1
346438.98045 6790917.24 2
346440.54045 6790116.97 2
346440.72045 6790732.22 3
346440.93045 6790889.51 1
346442.54045 6793979.08 4
346443.15045 6790590.71 3
346444.39045 6790212.33 2
346445.53045 6790817.05 4
346446.22045 6789952.49 3
346446.54045 6790039.48 4
346447.71045 6790124.74 2
346450.41045 6790292.82 2
346451.84045 6790106.17 2
346453.88045 6790635.11 2
346454.11045 6790602.93 3
346454.27045 6790470.73 2
346454.56045 6790778.79 2
346455.65045 6790223.89 3
346455.70045 6790118.22 1
346456.37045 6790879.22 2
346458.52045 6790791.28 4
346459.04045 6790414.03 1
346460.47045 6790029.49 2
346461.26045 6789967.58 1
346461.85045 6790841.14 3
346463.38045 6790111.27 2
346463.56045 6790095.4 2
346463.76045 6790234.43 1
346464.76045 6790306.22 1
346467.28045 6790725.76 2
346467.39045 6790857.04 2
346467.40045 6788803.27 2
346468.57045 6790161.52 3
346469.25045 6790632 4
346469.35046 6787832.48 2
346470.59045 6790583.1 4
346472.54045 6793150.03 2
346472.55045 6790102.76 2
346472.86045 6790890.1 2
346472.95045 6790248.1 2
346473.39045 6790772.54 4
346473.50045 6790325.61 1
346474.12045 6790602.93 1
346474.21045 6789985.07 3
346474.80045 6790340.8 1
346475.94045 6790669.4 4
346476.20045 6790174.06 1
346477.09045 6789950.56 2
346477.28045 6790085.55 2
346477.32045 6790437.48 1
346477.77045 6790685.88 2
346478.37045 6790543.15 3
346478.56045 6790358.14 1
346479.92045 6790709.02 2
346480.43045 6790001.74 2
346480.56045 6790368.91 4
346480.85045 6790157.53 2
346480.96045 6790307.2 2
346481.10045 6790722.41 2
346482.19045 6790828.64 4
346482.21045 6790272.95 1
346483.27045 6790289.13 2
346483.63045 6790092.96 2
346484.12045 6790322.15 3
346485.28045 6790669.3 1
346485.55045 6790635.41 2
346485.86045 6790393.34 2
346485.97045 6790337.57 1
346487.04045 6790352.98 2
346487.62045 6790073.91 1
346488.06045 6790893.01 1
346488.63045 6790694.66 2
346488.69045 6790768.9 2
346488.98045 6789965.66 2
346489.83045 6789985.91 1
346489.93045 6790703.55 1
346490.25045 6793965.88 5
346490.42045 6790366.77 1
346490.52045 6790405.23 3
346492.13045 6790150.59 2
346493.34045 6790785.74 4
346493.35045 6790084.56 1
346493.47045 6790623.71 1
346494.40045 6790850.35 2
346497.93045 6790731.6 2
346498.15045 6790164.07 5
346498.23045 6790063.08 2
346499.71045 6790888.36 3
346500.87045 6789972.24 2
346501.49045 6790077.66 3
346501.87045 6790140.69 2
346503.71045 6790389.97 4
346505.30045 6790766.01 2
346507.53045 6789650.72 2
346508.97045 6790180.53 3
346509.65045 6790155.94 3
346509.84045 6790786.71 2
346510.21045 6790070.67 1
346512.53045 6790594.23 2
346513.49046 6786112.46 2
346513.84045 6790196.37 2
346514.79045 6790135.39 1
346515.45045 6790857.74 1
346517.01045 6790566.23 2
346517.68045 6790811.99 2
346518.10045 6790895.43 4
346520.27045 6790175.62 1
346520.36045 6790310.89 2
346520.67045 6790210.35 2
346521.50045 6790062.09 1
346521.52045 6789711.41 5
346521.82045 6791481.77 9
346521.98045 6790780.23 2
346523.96045 6790760.63 2
346525.18045 6790799.06 4
346527.20045 6790319.43 4
346527.89045 6790225.67 1
346529.28045 6790197.71 2
346529.93045 6790258.28 2
346530.08045 6790034.86 2
346530.46045 6789620.76 4
346531.83045 6790842.36 2
346533.12045 6790238.27 1
346534.18045 6790607.65 1
346535.16045 6790344.81 3
346535.54045 6790622.8 2
346536.07045 6790895.73 2
346537.54045 6790019.81 2
346537.87045 6790357.09 3
346537.98045 6790048.07 2
346538.11045 6790725.62 5
346538.44045 6790639.36 4
346538.78045 6790217.9 1
346538.98045 6790379.78 1
346539.72045 6790391.46 1
346540.20045 6790586.24 3
346541.09045 6790656.39 3
346544.09045 6789757.99 3
346544.69045 6790675.59 2
346545.12045 6790475.96 1
346545.85045 6790344.33 2
346545.86045 6790691.48 2
346545.87045 6789771.8 2
346545.89045 6790511.97 1
346547.35045 6790846.21 2
346547.46045 6789999.4 2
346547.57045 6790108.63 1
346548.09045 6790026.37 4
346548.57045 6790836.21 2
346549.20045 6790491.54 3
346549.66045 6790708.04 2
346550.60045 6790364 1
346551.14045 6790632.97 5
346551.18045 6790389.98 4
346552.89045 6790120.95 2
346553.94045 6790034.25 3
346554.86045 6790333.64 4
346554.88045 6790649.86 5
346555.77045 6791309.77 5
346555.92045 6790446.88 3
346557.06045 6790130.46 3
346557.35045 6790751.8 2
346557.64045 6790564.38 5
346558.63045 6789959.84 4
346559.74045 6790575.78 2
346560.20046 6786017.59 4
346561.39045 6790270.76 1
346562.05045 6789582.73 4
346562.21045 6790140.63 3
346563.13045 6790772.4 2
346563.83045 6790233.41 4
346564.21045 6790284.01 2
346566.05045 6790407.43 3
346566.78045 6790150.33 1
346567.89045 6790109.72 2
346567.92045 6789714.06 2
346569.21046 6788299.52 2
346569.49045 6790633.46 1
346571.35045 6790166.61 3
346571.62045 6790721.5 1
346571.86045 6790292.78 2
346572.15045 6789805.77 2
346574.23045 6790131.38 5
346575.33045 6790895.12 2
346577.05045 6790178.64 1
346577.13045 6790675.95 2
346577.39045 6790662.96 2
346577.91045 6790828.9 4
346578.15045 6790852.05 3
346578.31045 6790081.85 2
346579.32045 6790097.17 3
346579.61045 6790147.23 2
346580.40045 6789956.69 4
346581.30045 6788566.36 2
346582.52045 6790188.55 2
346582.92045 6790900.61 2
346582.97045 6789981.66 2
346583.40045 6790689.6 2
346585.04046 6786089.45 3
346585.94045 6790541.76 1
346586.88045 6790199.3 5
346587.42045 6790265.45 2
346587.86045 6790162.23 1
346588.53046 6785999.65 2
346588.65045 6790704.4 4
346588.91045 6790734.03 1
346589.66045 6790763.29 3
346590.58045 6790796.6 1
346590.66045 6789970.06 3
346592.02045 6790176.19 2
346592.23045 6790209.21 1
346593.10046 6786054.11 1
346593.93045 6790820.95 2
346594.65045 6789948.2 2
346595.34045 6790457.4 2
346597.62045 6790779.29 1
346598.16045 6789611 4
346598.41045 6792970.61 2
346600.23045 6790334.64 2
346600.30045 6790349.07 2
346601.13045 6790230.38 1
346601.21045 6790365.48 2
346601.64045 6790436.73 2
346602.09045 6792993.27 4
346602.17045 6790378.65 4
346603.28045 6790422.97 2
346603.65045 6790582.95 2
346603.68045 6789703.79 2
346604.46045 6790818.34 3
346605.74045 6789759.65 4
346606.40045 6789961.6 3
346607.12045 6790836.18 2
346607.59045 6789823.74 2
346608.12045 6790324.44 3
346608.28045 6790262.28 4
346608.47045 6789904.92 3
346610.21045 6789937.09 2
346611.06045 6789663.05 4
346611.64045 6790208.58 2
346612.13045 6790487.25 2
346612.90045 6790004.85 4
346614.05045 6788523.24 5
346614.81045 6790886.63 5
346615.07045 6790533.37 2
346615.23045 6790781.93 2
346616.46045 6790337.17 3
346619.11045 6790232.38 2
346621.53045 6790195.29 3
346621.72045 6790057.51 2
346622.86045 6790845.7 2
346622.88045 6789953.11 2
346623.62045 6789701.77 2
346625.42045 6789712.92 2
346625.69045 6790311.76 1
346626.73045 6790011.26 1
346627.35045 6790879.63 1
346627.59045 6790179.37 2
346631.78045 6789923.41 4
346631.99045 6790093.72 2
346632.20045 6790113.52 3
346632.28045 6790858.5 2
346637.05045 6790134.65 4
346637.80045 6789940.08 4
346639.79045 6790306.45 2
346640.50045 6790008.75 3
346640.84045 6790158.99 2
346641.66045 6789655.33 4
346642.73045 6792455.52 2
346643.00045 6790072.54 2
346646.67045 6789915.82 3
346646.72045 6790017.34 2
346646.78045 6790534.99 1
346652.69045 6789786.21 4
346654.58045 6790459.45 2
346655.96045 6789931.22 4
346656.12045 6790895.8 2
346658.86045 6790070.93 2
346659.78045 6788549.18 2
346661.97045 6790001.92 2
346662.25045 6790466.52 5
346664.10045 6790138.93 2
346664.14045 6789908.33 3
346665.28045 6790013.01 2
346665.49045 6789819.34 4
346665.71045 6792613.37 2
346668.30045 6790197.95 4
346672.26045 6792523.61 3
346673.72045 6790077.34 2
346674.35045 6790127.42 4
346674.45045 6789924.28 4
346676.74045 6789660.26 2
346677.19045 6790181.79 2
346678.36045 6790478.37 5
346679.73045 6790300.04 10
346680.13045 6789993.85 4
346681.50045 6790021.41 2
346682.13045 6790115.06 3
346682.42045 6790087.78 2
346687.39045 6790102.21 2
346688.70045 6788670.02 2
346692.06045 6789860.29 4
346692.38045 6789920.54 5
346693.29045 6792550.46 4
346697.03045 6789899.17 4
346699.56045 6792570.41 5
346701.85045 6789722.68 4
346702.23045 6790025.9 2
346703.13045 6789909.34 4
346703.30045 6790181.36 2
346705.57045 6789960.84 5
346707.42045 6789865.99 5
346709.97045 6789985.65 2
346712.22045 6790456.57 1
346712.43045 6790164.65 2
346715.78045 6790205.87 4
346718.62045 6789857.29 4
346722.53045 6790204.56 2.5
346724.47045 6790149.29 2
346724.57045 6789992.23 3
346724.78045 6790040.61 2
346725.14045 6790003.05 2
346728.26045 6790204.28 4
346728.43045 6790014.73 5
346730.45045 6790169.19 5
346732.77045 6790057.1 2
346733.98045 6790204.88 4
346734.85045 6792493.41 5
346735.14045 6789849.33 4
346735.33045 6789928.49 4
346738.29045 6790169.2 1
346740.15045 6790204.45 2.5
346740.76045 6789993.45 3
346741.86045 6790044.09 4
346743.16045 6790117.47 2
346745.15045 6790146.37 4
346745.69045 6790169.36 3
346746.31045 6789932.64 3
346746.45045 6790203.57 4
346746.73045 6792599.5 2
346748.60045 6789999.95 5
346749.74045 6790058.5 4
346752.32045 6790204.31 3
346752.55046 6787748.12 4
346752.95045 6790169.22 4
346754.01045 6789843.25 5
346755.54045 6790069.54 2
346755.73045 6790271.85 29
346758.51045 6789761.99 1
346760.35045 6790169.23 1
346760.78045 6789936.56 3
346767.38045 6789879.93 1
346770.97045 6790059.65 3
346771.07045 6789791.75 6
346772.08045 6789837.63 4
346772.16045 6790003.07 3
346773.05045 6789943.47 2
346773.56045 6790168.53 6
346774.59045 6792477.65 2
346779.95045 6790168.54 5
346780.26046 6788141.07 1
346781.68045 6790106.95 2
346782.11045 6789885.71 4
346782.89045 6790022.06 4
346782.97045 6790046.72 4
346786.05045 6790168.41 3
346786.48045 6790204.81 4
346787.65045 6789799.07 1
346789.86045 6789832.9 4
346790.69045 6789950.63 4
346791.69045 6792615.71 3
346792.29045 6790168.56 4
346792.80045 6790035.29 3
346793.87046 6788112.41 4
346795.25045 6790131.11 1
346798.10045 6790168.43 3
346800.35045 6790907.72 2
346800.87045 6790300.56 6
346802.42045 6790047.09 4
346804.05045 6790168.44 5
346804.27046 6787705.45 4
346804.90045 6789884.73 4
346807.12045 6792611.75 1
346807.66045 6789746.26 3
346807.86045 6789829.94 2
346808.62045 6789966.69 3
346809.99045 6790168.72 4
346813.54045 6790131.28 8
346814.72045 6789900.73 4
346814.76045 6790240.46 24
346815.07045 6790081.94 5
346815.57045 6789789.26 4
346816.09045 6790168.59 3
346819.32045 6790327.8 11
346819.61045 6789880.4 4
346823.12045 6790131.44 6
346823.81045 6789978.08 5
346823.96046 6788137.29 2
346826.61045 6789986.46 5
346827.26045 6789820.98 4
346833.03045 6790278.92 58
346833.19045 6789994.58 2
346833.57045 6789908.13 4
346835.02045 6792055.77 4
346838.11045 6790002.27 4
346840.12045 6789928.9 3
346842.17045 6789900.49 3
346844.38045 6791413.42 2
346845.83045 6789810.4 2
346846.98045 6790013.53 2
346849.10045 6790853.36 2
346849.59045 6790295.81 3
346850.34045 6790021.09 2
346850.66045 6790164.25 30
346853.51045 6789828.69 5
346856.97045 6789853.72 3
346858.12045 6789945.93 6
346858.48045 6790091.17 2
346859.92045 6790207.34 48
346860.50045 6790106.4 4
346861.40045 6789799.27 4
346862.03045 6790317.58 5
346863.05045 6790136.54 5
346865.19045 6789821.82 4
346866.42045 6789870.72 3
346866.97045 6789940.55 2.5
346868.09045 6789846.94 4
346872.47045 6790256.58 22
346872.66045 6789854.17 3
346875.69045 6789815.8 3
346876.01045 6789883.83 4
346876.32046 6787675.35 3
346878.01045 6789860.84 4
346878.18045 6789789.52 4
346880.12045 6792252.59 2
346880.16045 6792487.32 2
346880.85045 6789868.39 3
346881.97045 6789929.8 4
346886.16045 6789808.38 4
346886.94045 6789901.74 3
346887.13045 6789988.05 2
346887.31045 6789875.84 3
346893.45045 6789780.38 2
346894.39045 6789981.78 4
346894.65045 6789733.56 2
346895.95045 6792663.04 2
346896.64045 6789801.24 5.5
346900.51045 6790766.45 2
346902.30045 6790716.69 2
346902.86045 6789977.02 5
346904.96045 6793103.1 1
346907.42045 6789795.21 5
346909.82045 6789971.35 4
346913.75045 6789908.15 1
346917.72045 6789919.29 2
346922.58045 6789793.93 11
346922.58045 6789926.02 2
346923.13045 6792447.35 4
346924.63045 6789828.76 4
346926.44045 6789837.4 5
346927.69045 6792272.51 4
346928.61045 6790878.65 2
346930.10045 6789936.62 4
346931.72045 6790675.11 3
346932.23045 6789845.55 3
346934.30045 6789727.8 4
346934.39045 6789944.68 3
346934.83045 6789824.34 29
346937.20045 6790718.18 1
346937.37045 6792432.99 2
346941.00045 6789952.35 1
346941.76045 6792396.39 2
346944.74045 6790272.33 1
346946.36045 6790531.63 4
346952.71045 6789634.29 2
346954.97045 6792685.31 2
346965.58045 6792205.09 2
346976.06045 6790641.98 4
346977.93045 6790538.26 3
346978.92045 6792389.31 2
346983.93045 6790465.81 7
346992.86045 6793771.59 2
346994.34045 6792935.41 5
347002.72045 6792339.8 1
347008.28045 6792099.22 2
347011.43045 6790714.06 2
347016.12045 6792563.96 2
347017.63045 6789503.91 1
347020.95045 6789699.25 3
347022.08045 6789656.12 3
347026.04045 6790457.51 4
347040.36045 6789503.3 8
347041.80045 6793585.63 2
347043.56045 6792195.78 2
347044.84045 6790548.04 2
347047.31045 6793763.55 8
347053.35045 6790490.3 3
347054.28045 6789668.32 4
347064.37045 6790458.68 5
347064.89045 6790385.31 2
347068.15045 6790128.67 4
347068.59045 6790576.28 3
347068.98045 6792369.48 2
347076.38045 6790483.84 2
347079.12045 6790527.01 3
347082.49045 6790273.32 2
347086.97045 6792167.41 2
347089.09045 6790375.18 2
347097.89045 6790536.16 2
347102.92045 6789668.56 6
347106.89045 6790532.18 1
347111.13045 6790173.57 3
347116.28045 6791005.18 5
347117.49045 6792262.36 2
347120.52045 6790447.63 1
347124.32045 6790598.39 3
347128.24045 6790572.95 1
347131.08045 6790162.15 1
347134.05045 6793000.61 3
347147.35045 6789688.33 7
347149.87045 6791760.48 2
347150.67046 6786566.59 4
347156.39045 6790502.46 1
347159.90045 6791806.49 4
347164.01046 6786567.84 2
347164.93045 6790180.8 2
347172.60045 6790423.11 4
347178.22045 6790575.98 4
347181.31045 6789216.71 4
347182.85045 6793524.68 2
347194.92045 6790180.44 5
347201.04046 6786507.6 4
347206.06045 6792801.36 2
347212.01045 6788900.32 2
347215.53045 6788908.62 1
347226.76045 6792804.57 5
347240.34045 6792823.32 2
347241.59045 6790409.88 2
347244.08046 6786454.07 1
347247.82045 6789183.45 3
347249.94046 6787169.45 4
347257.02045 6792726.73 1
347257.09045 6792763.39 2
347264.45045 6792832.17 4
347278.16046 6786558.7 2
347281.83045 6789648.73 3
347285.30045 6792550.65 1
347288.17046 6786423.47 1
347297.14045 6793430.28 4
347300.06045 6793543.52 3
347300.40045 6790938.31 3
347325.24045 6792563.32 1
347352.20045 6789204.58 1
347358.64045 6792185.17 1
347358.79045 6789772.64 2
347363.31046 6786383.79 4
347363.73046 6786543.95 5
347366.31045 6792529.79 5.5
347366.48045 6792411.58 2
347368.76046 6786822.42 4
347376.67046 6786601.6 2
347388.39045 6792517.07 6
347395.95046 6785617.3 4
347406.73046 6786563.86 3
347408.19045 6792272.01 2
347418.35046 6786582.47 1
347430.82046 6786642.82 6
347438.02045 6792843.9 1
347442.28045 6789937.53 1
347445.06046 6786560.1 5
347453.25045 6792843.71 2
347460.84045 6789757.42 2
347461.32045 6793411.24 2
347474.23045 6790067.38 2
347475.75046 6786613.9 7
347482.34045 6790104.75 2
347483.90045 6790842.98 2
347487.15045 6793387.27 2
347493.65046 6787744.65 3
347514.47045 6786623.62 3
347515.86046 6787654.72 4
347519.72045 6790851.18 2
347534.59045 6786900.7 6
347547.51045 6789973.46 2
347553.29045 6793394.23 2
347562.99045 6787743.13 2
347579.97045 6790126.43 6
347582.65045 6790104.3 4
347585.58045 6790295.68 6
347600.62045 6786401.04 3
347601.61045 6786238.97 2
347613.17045 6786267.1 1
347613.90045 6790182.53 1
347615.08045 6786604.02 2
347634.46045 6790220.51 2
347654.00045 6789775.12 3
347670.41045 6787623.37 6
347734.21045 6793285.04 6
347738.35045 6787515.04 1
347744.58045 6786442.43 4
347758.97045 6787538.21 2
347773.58045 6786412.47 1
347777.48045 6793291.1 2
347783.87045 6787431 1
347790.90045 6787524.83 2
347794.07045 6786380.66 2
347813.98045 6793113.62 10
347845.13045 6786442.27 2
347853.73045 6790228.78 5
347854.76045 6793106.31 4
347859.49045 6788342.57 4
347885.93045 6793156.64 4
347889.48045 6793205.8 1
347896.17045 6790325.03 4
347912.16045 6793399.54 1
347916.10045 6790363.06 1
347937.79045 6788286.29 3
347942.27045 6793358.56 4
347945.80045 6786473.86 2
347948.80045 6793163.97 2
347950.19045 6790518.01 2
347951.13045 6786497.23 6
347959.58045 6793044.23 1
347968.08045 6793079.6 6
347969.17045 6786503.69 1
347970.69045 6793064.74 4
347984.08045 6793188.29 1
347990.37045 6791789.95 9
347990.66045 6792922.84 3
347991.46045 6792969.39 2
347997.17045 6786515.9 3
347997.4217 6791794.1275 4
347997.76045 6791847.74 5
348006.15045 6790615.19 4
348018.33045 6786534.11 1
348024.11045 6790351.87 2
348026.34045 6786704.94 2
348027.03045 6790670.03 2
348039.39045 6791765.58 2
348039.72045 6793555.75 2
348041.18045 6787020.86 4
348059.70045 6792414.53 3
348068.50045 6790369.5 4
348068.61045 6790158.29 2
348074.75045 6790408.12 2
348082.16045 6792861.05 4
348086.83045 6792674.81 1
348088.09045 6792456.66 1
348088.11045 6790464.68 2
348095.44045 6786552.16 1
348096.91045 6790415.5 3
348101.05045 6790482.08 1
348105.10045 6786644.75 3
348106.08045 6792453.12 6
348106.27045 6786974.02 4
348120.84045 6790460.39 2
348122.61045 6786636.01 5
348147.55045 6790478.64 2
348153.08045 6790220.5 3
348172.17045 6791031.39 1
348172.86045 6790473.53 1
348182.21045 6792858.76 4
348197.37045 6790071.73 2
348199.05045 6790396.7 3
348203.94045 6786770.15 2
348208.13045 6790167.25 2
348214.46045 6786067.85 3
348217.68045 6790436.75 5
348229.70045 6792923.3 4
348229.86045 6791061.97 5
348231.22045 6786722.93 2
348236.26045 6790207.46 2
348242.20045 6790626.48 4
348244.77045 6786620.07 1
348244.82045 6786769.4 2
348246.65045 6790645.51 4
348248.60045 6788163.65 1
348249.84045 6792928.32 5
348262.05045 6792850.84 2
348280.87045 6787766.66 4
348281.61045 6790204.17 4
348282.91045 6790828.81 2
348283.27045 6790147.56 4
348287.58045 6786382.4 4
348290.53045 6786441.72 3
348290.88045 6792904.77 3
348293.80045 6788014.92 1
348295.45045 6790284.53 2
348300.72045 6792774.09 8
348309.71045 6786450.33 1
348312.61045 6790867.93 3
348321.89045 6786455.49 1
348326.72045 6793961.88 5
348341.42045 6791502.37 4
348342.06045 6790856.18 1
348344.87045 6790807.73 3
348353.30045 6792873.79 2
348360.10045 6790801.33 4
348371.53045 6792402.96 4
348372.84045 6790794.57 2
348372.89045 6786743.93 2
348382.55045 6786743.29 4
348388.13045 6790771.87 2
348388.61045 6790328.5 1
348391.88045 6786743.05 2
348395.30044 6790237.92 1
348404.76045 6790480.28 5
348406.93045 6786742.28 2
348412.49044 6790224.46 2
348416.44044 6790271.3 4
348421.24045 6790724.99 1
348422.80045 6786752.47 6
348423.73045 6790770.51 3
348441.08045 6788251.96 5
348445.78045 6792504.21 5
348449.47045 6786759.55 4
348451.64044 6790827.35 2
348460.02045 6786703.75 2
348462.97045 6788128.52 4
348470.59045 6786178.1 5
348480.70045 6786139.16 1
348488.27045 6786998.95 1
348494.07045 6786719.08 2
348494.56045 6788166.18 3
348494.87045 6792632.15 1
348496.05045 6786657.89 1
348504.06045 6786718.18 2
348508.07045 6786137.74 1
348509.14045 6786186.51 1
348520.73044 6790722.98 2
348524.25044 6790168.53 2
348524.61045 6786716.21 2
348528.80044 6790741.29 2
348534.55045 6786715.94 2
348541.94044 6790771.55 4
348542.80045 6788210.69 2
