"x" "y" "equ"
353932.46 6787464.75 "Pharmacies"
352160.54 6788936.52 "Vêtements"
351543 6786102.94 "Vêtements"
351660.17 6786105.24 "Vêtements"
351660.17 6786105.49 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543 6786102.94 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543 6786102.94 "Vêtements"
351892.71 6786086.6 "Pharmacies"
351949.89 6788527.8 "Vêtements"
351902.27 6789492.25 "Vêtements"
351904.81 6789496.98 "Vêtements"
351927.84 6789563.75 "Vêtements"
351939.63 6789569.9 "Vêtements"
351765.16 6789296.76 "Vêtements"
351736.72 6789289.74 "Vêtements"
351730.33 6789302.79 "Vêtements"
351721.53 6789303.86 "Vêtements"
352375.44 6789830.16 "Pharmacies"
352040.11 6789050.68 "Vêtements"
352052.09 6789050.33 "Vêtements"
352052.09 6789050.33 "Vêtements"
352051.18 6789029.85 "Vêtements"
352037.02 6788990.49 "Vêtements"
352049 6788989.65 "Vêtements"
352030.01 6788888.37 "Pharmacies"
347741.93 6788622.33 "Vêtements"
352059.42 6789090.99 "Pharmacies"
352059.42 6789090.99 "Pharmacies"
351545.5 6788681.72 "Vêtements"
352089.81 6789259.88 "Vêtements"
351872.59 6789369.08 "Vêtements"
351853.65 6789370.73 "Vêtements"
352069.02 6789283.28 "Vêtements"
352070 6789300.51 "Vêtements"
352071.02 6789317.99 "Vêtements"
351901.26 6789265.92 "Vêtements"
352113.61 6789573.47 "Pharmacies"
352877.66 6790123.61 "Pharmacies"
349776.13 6788217.74 "Pharmacies"
351956.44 6789023.63 "Vêtements"
349526.61 6788673.72 "Vêtements"
349536.39 6788659.4 "Vêtements"
349375.95 6788546.29 "Vêtements"
351917.8 6789428.67 "Vêtements"
351953.26 6789446.62 "Vêtements"
351953.91 6789460.6 "Vêtements"
351966.12 6789464.75 "Vêtements"
351967.98 6789539.43 "Vêtements"
351967.91 6789548.93 "Vêtements"
351834.79 6789547.02 "Vêtements"
351968.55 6789588.14 "Vêtements"
351968.55 6789588.14 "Vêtements"
351957.32 6789602.98 "Vêtements"
351957.32 6789602.98 "Vêtements"
351970.08 6789616.86 "Vêtements"
351973.29 6789424.72 "Vêtements"
351986.07 6789436.11 "Vêtements"
351998.3 6789435.51 "Vêtements"
352010.54 6789434.91 "Vêtements"
352010.54 6789434.91 "Vêtements"
352010 6789422.92 "Vêtements"
352022.78 6789434.31 "Vêtements"
353383.87 6787195.67 "Pharmacies"
351945.43 6789589.58 "Vêtements"
351945.43 6789589.58 "Vêtements"
351645.38 6789018.92 "Vêtements"
351824.5 6789503.13 "Vêtements"
351813.96 6789528.7 "Vêtements"
353191.19 6788332.26 "Pharmacies"
351664.54 6789576.14 "Vêtements"
351694.21 6790541.24 "Pharmacies"
352071.13 6789697.99 "Vêtements"
352034.97 6789469.44 "Vêtements"
351825.78 6788786.86 "Vêtements"
351989.01 6789001.13 "Vêtements"
352053.58 6789010.1 "Vêtements"
352122.91 6789417 "Vêtements"
353048.26 6787274.6 "Pharmacies"
353819.11 6791977.66 "Pharmacies"
351672.09 6787064.73 "Vêtements"
351821.3 6789352.76 "Vêtements"
351850 6789650 "Vêtements"
351830.68 6788542.48 "Vêtements"
351990.25 6789566.98 "Vêtements"
351555.87 6791309.23 "Vêtements"
351867.94 6788982.88 "Vêtements"
351890.09 6789202.8 "Vêtements"
351819.47 6789433.97 "Vêtements"
351543.92 6786114.93 "Vêtements"
351719.43 6789291.88 "Vêtements"
352040.11 6789050.68 "Vêtements"
352058.52 6789309.85 "Vêtements"
352062.53 6789193.15 "Vêtements"
352022.78 6789434.31 "Vêtements"
349950 6789150 "Vêtements"
351077.38 6790054.11 "Vêtements"
351950 6788550 "Vêtements"
350538.81 6791346.63 "Pharmacies"
351179.56 6790015.05 "Pharmacies"
351494.6 6789504.07 "Pharmacies"
351293.22 6789436.98 "Pharmacies"
353540.16 6790607.12 "Pharmacies"
351673.7 6787073.96 "Pharmacies"
352908.9 6787943.9 "Ecoles"
351891.16 6788872.59 "Vêtements"
351891.16 6788872.59 "Vêtements"
351543.92 6786114.93 "Vêtements"
351891.16 6788872.59 "Vêtements"
351797.74 6788902.65 "Vêtements"
348823.87 6788670.21 "Vêtements"
351951 6789237.53 "Vêtements"
351951.15 6789256.51 "Vêtements"
351871.16 6789067.8 "Vêtements"
351917.8 6789428.67 "Vêtements"
351956.55 6789588.49 "Vêtements"
351881.11 6789896.65 "Vêtements"
352032.78 6789443.22 "Vêtements"
352156.29 6789426.47 "Vêtements"
351968.55 6789588.14 "Vêtements"
352858.2 6787037.82 "Pharmacies"
351808.6 6789545.48 "Pharmacies"
349535.33 6788659.41 "Pharmacies"
355499.63 6791255.17 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
352022.25 6789641.92 "Vêtements"
351776.39 6786095.29 "Vêtements"
351543 6786102.94 "Vêtements"
351543.92 6786114.93 "Vêtements"
355552.87 6791216.51 "Vêtements"
351891.16 6788872.59 "Vêtements"
351797.74 6788902.65 "Vêtements"
350937.95 6789113.64 "Vêtements"
351889.5 6788586.22 "Vêtements"
351993.06 6788582.13 "Vêtements"
351830.68 6788542.48 "Vêtements"
352458.55 6790268.18 "Vêtements"
352951.39 6789306.81 "Vêtements"
352022.25 6789641.92 "Vêtements"
351660.17 6786105.24 "Vêtements"
351853.65 6789370.73 "Vêtements"
351957.23 6789063.35 "Vêtements"
351958.09 6789617.46 "Vêtements"
351986.07 6789436.11 "Vêtements"
351998.3 6789435.51 "Vêtements"
351933.34 6789584.69 "Vêtements"
351923.07 6789611.25 "Vêtements"
351634.68 6789031.5 "Vêtements"
352134.32 6789356.45 "Vêtements"
352199.19 6789079.3 "Vêtements"
352172.55 6789425.09 "Vêtements"
354907.79 6791067.63 "Vêtements"
351830.68 6788542.48 "Pharmacies"
353750 6788050 "Pharmacies"
353562.86 6789557.9 "Pharmacies"
351830.68 6788542.48 "Vêtements"
351580.07 6789350.23 "Vêtements"
351543 6786102.94 "Vêtements"
351543.92 6786114.93 "Vêtements"
349551.49 6788680.01 "Vêtements"
349535.33 6788659.41 "Vêtements"
351891.16 6788872.59 "Vêtements"
353597.26 6786312.03 "Vêtements"
351840.83 6788585.12 "Vêtements"
351980.12 6788565.5 "Vêtements"
351830.68 6788542.48 "Vêtements"
351963.52 6789402.31 "Vêtements"
352027.44 6788681.28 "Vêtements"
352036.6 6788621 "Vêtements"
351798.85 6789425.64 "Vêtements"
351728.52 6789429.47 "Vêtements"
352037.92 6789625.3 "Vêtements"
351811.33 6789302.13 "Vêtements"
351890.09 6789202.8 "Vêtements"
352038.8 6786441.41 "Vêtements"
352040.56 6789060.92 "Vêtements"
352064.29 6789078.71 "Vêtements"
348621.26 6788633.14 "Vêtements"
349551.49 6788680.01 "Vêtements"
349525.59 6788674.98 "Vêtements"
351943.13 6789426.46 "Vêtements"
351930.47 6789427.57 "Vêtements"
351858.44 6789514.1 "Vêtements"
351842.48 6789556.7 "Vêtements"
351968.55 6789588.14 "Vêtements"
351941.72 6789593.11 "Vêtements"
351890.81 6789006.43 "Vêtements"
353094.05 6790922.55 "Pharmacies"
351830.68 6788542.48 "Vêtements"
351830.68 6788542.48 "Vêtements"
352027.44 6788681.28 "Vêtements"
351830.68 6788542.48 "Vêtements"
351881.84 6789380.25 "Vêtements"
351999.79 6789740.54 "Vêtements"
352058.23 6789564.43 "Vêtements"
351799.03 6789393.41 "Vêtements"
352014.4 6789276.23 "Vêtements"
351993.13 6789264.92 "Vêtements"
351880.57 6789302.06 "Vêtements"
351880.94 6789347.03 "Vêtements"
351648.54 6789422.87 "Vêtements"
351811.25 6789322.36 "Vêtements"
351890.09 6789202.8 "Vêtements"
351871.93 6789934.45 "Vêtements"
351901.04 6789517.75 "Vêtements"
351702.15 6789293.77 "Vêtements"
352072 6789335.22 "Vêtements"
351901.26 6789265.92 "Vêtements"
355207.25 6787021.15 "Vêtements"
351929.59 6789588.21 "Vêtements"
352156.29 6789426.47 "Vêtements"
353827.38 6786653.92 "Vêtements"
351050 6790250 "Vêtements"
352716.76 6787524.14 "Pharmacies"
352763.6 6788721.24 "Pharmacies"
351388.75 6787496.65 "Médecins"
351820 6789445.96 "Médecins"
351388.75 6787496.65 "Médecins"
352811.25 6786387.15 "Médecins"
351388.75 6787496.65 "Médecins"
351776.39 6786095.29 "Médecins"
351956.44 6789023.63 "Médecins"
351388.75 6787496.65 "Médecins"
351798.29 6788748.36 "Médecins"
353025.78 6792047.84 "Médecins"
350930.87 6789645.83 "Médecins"
353543.38 6789777.4 "Médecins"
351659.82 6789533.96 "Médecins"
351820 6789445.96 "Médecins"
351819.47 6789433.97 "Médecins"
352742.4 6788521.36 "Médecins"
350206.67 6788478.79 "Médecins"
352152.86 6787844.46 "Médecins"
352150 6786650 "Médecins"
352516.24 6788634.32 "Médecins"
350050.49 6790526.93 "Médecins"
353622.74 6787188.72 "Médecins"
352329.05 6786534.23 "Médecins"
351071.41 6789103.3 "Médecins"
352238.49 6787871.31 "Médecins"
351584.61 6786857.34 "Médecins"
351528.31 6789514.79 "Médecins"
349487.51 6788283.05 "Médecins"
351830.19 6788672.9 "Médecins"
353543.38 6789777.4 "Médecins"
352032.34 6788922.33 "Médecins"
351792.47 6788654.72 "Médecins"
351422.89 6789469.93 "Médecins"
351990.66 6788708.56 "Médecins"
351659.82 6789533.96 "Médecins"
354088.02 6788176.29 "Médecins"
351031.14 6789464.16 "Médecins"
352086.36 6789510.24 "Médecins"
350350 6789050 "Médecins"
352622.73 6788778.85 "Médecins"
353267.75 6789321.97 "Médecins"
351690.09 6789156.21 "Médecins"
353239.35 6791203.92 "Médecins"
353505.51 6787052.02 "Médecins"
350830.56 6788670.32 "Médecins"
352945.78 6790165.77 "Médecins"
353622.74 6787188.72 "Médecins"
352041.02 6789071.16 "Médecins"
352147.84 6787087.51 "Médecins"
351825.84 6790096.97 "Médecins"
352552.99 6788739.81 "Médecins"
351105.47 6789830.03 "Médecins"
351185 6787830.43 "Médecins"
352017.67 6789578 "Médecins"
353384.58 6789125.9 "Médecins"
353237.61 6786570.54 "Médecins"
353800.64 6791949.83 "Médecins"
349468.64 6790435.5 "Médecins"
350158.37 6789047.05 "Médecins"
352552.99 6788739.81 "Médecins"
351584.61 6786857.34 "Médecins"
351891.16 6788872.59 "Médecins"
353223.14 6787249.44 "Médecins"
353110.76 6790283.1 "Médecins"
351310.53 6789168.06 "Médecins"
351350.01 6787378.15 "Médecins"
351584.79 6790888.82 "Médecins"
352516.24 6788634.32 "Médecins"
351031.14 6789464.16 "Médecins"
351858.98 6789358.2 "Médecins"
352079.22 6786795.59 "Médecins"
352041.02 6789071.16 "Médecins"
353421.24 6788001.61 "Médecins"
353024.4 6790574.44 "Médecins"
352361.03 6786212.69 "Médecins"
351652.18 6789256.21 "Médecins"
352930.05 6788539.01 "Médecins"
353044.8 6789401.73 "Médecins"
353031.65 6787068.88 "Médecins"
351185 6787830.43 "Médecins"
353398.4 6789113.79 "Médecins"
352521.38 6789374.28 "Médecins"
351745.68 6788929.39 "Médecins"
353025.78 6792047.84 "Médecins"
353294.99 6788228.49 "Médecins"
353610.03 6787743.44 "Médecins"
355393.65 6791230.8 "Médecins"
352691.98 6787494.86 "Médecins"
351350.01 6787378.15 "Médecins"
352147.84 6787087.51 "Médecins"
351990.66 6788708.56 "Médecins"
351950 6789250 "Médecins"
350665.46 6788947.23 "Médecins"
353648.87 6791322.31 "Médecins"
350911.18 6789545.81 "Médecins"
351310.53 6789168.06 "Médecins"
353141.8 6790914.91 "Médecins"
351965.68 6789455.26 "Médecins"
352914.84 6790147.79 "Médecins"
349468.64 6790435.5 "Médecins"
351792.47 6788654.72 "Médecins"
353543.38 6789777.4 "Médecins"
349574.54 6787986.54 "Médecins"
354088.02 6788176.29 "Médecins"
353141.8 6790914.91 "Médecins"
351185 6787830.43 "Médecins"
351744.05 6789361.13 "Médecins"
352418.56 6787858.29 "Médecins"
351388.75 6787496.65 "Médecins"
355434.07 6790756.8 "Médecins"
351659.82 6789533.96 "Médecins"
354589.11 6787752.94 "Médecins"
352754.97 6788726.31 "Médecins"
351845.58 6789008.55 "Médecins"
353031.65 6787068.88 "Médecins"
353505.51 6787052.02 "Médecins"
353113.44 6787221.36 "Médecins"
350067.49 6790828.09 "Médecins"
353554.66 6790619.99 "Médecins"
352996.22 6787893.85 "Médecins"
350665.46 6788947.23 "Médecins"
351523.1 6790461.44 "Médecins"
353610.03 6787743.44 "Médecins"
351866.11 6789524.03 "Médecins"
352147.84 6787087.51 "Médecins"
353141.8 6790914.91 "Médecins"
350218.28 6789534.3 "Médecins"
352996.85 6787359.71 "Médecins"
351413.31 6789034.06 "Médecins"
349487.51 6788283.05 "Médecins"
351679.23 6789543.79 "Médecins"
354396.86 6786740.46 "Médecins"
351858.98 6789358.2 "Médecins"
351350.01 6787378.15 "Médecins"
351584.61 6786857.34 "Médecins"
350976.33 6788684.12 "Médecins"
353122.55 6789129.03 "Médecins"
355393.65 6791230.8 "Médecins"
355393.65 6791230.8 "Médecins"
350499.85 6786368.53 "Médecins"
351776.39 6786095.29 "Médecins"
352200.8 6789232.49 "Médecins"
350845.43 6787026.01 "Médecins"
351584.61 6786857.34 "Médecins"
351417.13 6789621.38 "Médecins"
353610.03 6787743.44 "Médecins"
351798.29 6788748.36 "Médecins"
354896.32 6786988.21 "Médecins"
352668.06 6787043.86 "Médecins"
353895.48 6787499.03 "Médecins"
353505.51 6787052.02 "Médecins"
354075.74 6786607.31 "Médecins"
351381.73 6789186.96 "Médecins"
351601.26 6789392.03 "Médecins"
351787.02 6789250.11 "Médecins"
354396.86 6786740.46 "Médecins"
352148.94 6789085.77 "Médecins"
351523.1 6790461.44 "Médecins"
353505.51 6787052.02 "Médecins"
352742.4 6788521.36 "Médecins"
353832.34 6787388.62 "Médecins"
354396.86 6786740.46 "Médecins"
350895.9 6789522.95 "Médecins"
352079.22 6786795.59 "Médecins"
353543.38 6789777.4 "Médecins"
354396.86 6786740.46 "Médecins"
353030.13 6786610.71 "Médecins"
353398.4 6789113.79 "Médecins"
353648.87 6791322.31 "Médecins"
351976.77 6789579.09 "Médecins"
352996.22 6787893.85 "Médecins"
353554.66 6790619.99 "Médecins"
353141.8 6790914.91 "Médecins"
352811.25 6786387.15 "Médecins"
352811.25 6786387.15 "Médecins"
353660.22 6792105.34 "Médecins"
350425.97 6791436 "Médecins"
351388.75 6787496.65 "Médecins"
351417.13 6789621.38 "Médecins"
351528.31 6789514.79 "Médecins"
351659.82 6789533.96 "Médecins"
353648.87 6791322.31 "Médecins"
352079.22 6786795.59 "Médecins"
351388.75 6787496.65 "Médecins"
351388.75 6787496.65 "Médecins"
351668.5 6789157.39 "Médecins"
352069.81 6789912.54 "Médecins"
353726.86 6792235.99 "Médecins"
351388.75 6787496.65 "Médecins"
352238.37 6789408.07 "Médecins"
351790.84 6788669.47 "Médecins"
351350.01 6787378.15 "Médecins"
352147.84 6787087.51 "Médecins"
352152.86 6787844.46 "Médecins"
351388.75 6787496.65 "Médecins"
352219.9 6789174.95 "Médecins"
351969.58 6789711.8 "Médecins"
351872.59 6789369.08 "Vêtements"
351850 6789450 "Vêtements"
351850 6789450 "Vêtements"
351840.83 6788585.12 "Vêtements"
351830.68 6788542.48 "Vêtements"
352055.12 6789345.35 "Vêtements"
352109.88 6789361.65 "Vêtements"
351995.73 6789728.58 "Vêtements"
352036.6 6788621 "Vêtements"
352027.44 6788681.28 "Vêtements"
353650 6790650 "Vêtements"
351880.45 6789287.07 "Vêtements"
351880.69 6789317.05 "Vêtements"
351880.81 6789332.04 "Vêtements"
351774.76 6789432.59 "Vêtements"
352092.03 6789582.64 "Vêtements"
351811.33 6789302.13 "Vêtements"
351811.25 6789322.36 "Vêtements"
351241.13 6787897.18 "Vêtements"
351890.68 6789220.78 "Vêtements"
351543 6786102.94 "Vêtements"
351660.17 6786105.28 "Vêtements"
351730.33 6789302.79 "Vêtements"
351693.47 6789294.84 "Vêtements"
351858.98 6789358.2 "Vêtements"
352060.01 6789335.82 "Vêtements"
351906.1 6789441.76 "Vêtements"
351958.09 6789617.46 "Vêtements"
352010 6789422.92 "Vêtements"
351930.5 6789604.2 "Vêtements"
351810.38 6789457.28 "Vêtements"
351813.96 6789528.7 "Vêtements"
352242.07 6789364.56 "Vêtements"
351820.69 6789606.84 "Vêtements"
354907.79 6791067.63 "Vêtements"
351365.11 6787467.21 "Pharmacies"
351321.12 6789213.69 "Pharmacies"
353702.21 6791351.04 "Pharmacies"
351974.48 6789704.52 "Pharmacies"
352161.89 6787775.46 "Pharmacies"
351185 6787830.43 "Pharmacies"
351104.5 6788685.07 "Pharmacies"
352684.62 6786505.35 "Pharmacies"
352069.02 6789283.28 "Pharmacies"
352164.99 6786532.07 "Médecins"
353648.87 6791322.31 "Médecins"
353830.24 6787847.33 "Médecins"
350219.24 6788222.61 "Médecins"
353830.24 6787847.33 "Médecins"
350219.24 6788222.61 "Médecins"
350425.97 6791436 "Médecins"
353830.24 6787847.33 "Médecins"
352219.9 6789174.95 "Médecins"
351584.61 6786857.34 "Médecins"
349967.03 6790533.61 "Médecins"
350158.37 6789047.05 "Médecins"
348338.49 6789048.17 "Médecins"
351586.41 6786875.56 "Vêtements"
351582.77 6786838.87 "Vêtements"
351543.92 6786114.93 "Vêtements"
351543 6786102.94 "Vêtements"
352038.8 6786441.41 "Vêtements"
351543.92 6786114.93 "Vêtements"
351660.17 6786105.24 "Vêtements"
351660.17 6786105.49 "Vêtements"
351543 6786102.94 "Vêtements"
351660.17 6786105.49 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
351866.11 6789524.03 "Vêtements"
351595.92 6786850 "Vêtements"
352344.58 6789108.9 "Vêtements"
351891.16 6788872.59 "Vêtements"
351859.32 6788580.47 "Vêtements"
351859.32 6788580.47 "Vêtements"
351830.68 6788542.48 "Vêtements"
352028.73 6789383.04 "Vêtements"
351893.82 6789379.65 "Vêtements"
351895.2 6789407.62 "Vêtements"
351950.01 6789192.67 "Vêtements"
351811.02 6789393.32 "Vêtements"
351810.84 6789425.55 "Vêtements"
351880.94 6789347.03 "Vêtements"
351789.39 6789445.46 "Vêtements"
351814.3 6789566.17 "Vêtements"
351890.09 6789202.8 "Vêtements"
351891.27 6789238.77 "Vêtements"
351891.85 6789256.75 "Vêtements"
351248.7 6791650.37 "Vêtements"
351543.92 6786114.93 "Vêtements"
351776.39 6786095.29 "Vêtements"
351776.39 6786095.29 "Vêtements"
352033.51 6788939.31 "Vêtements"
352032.34 6788922.33 "Vêtements"
353774.22 6791357.2 "Vêtements"
354239.89 6789664.79 "Vêtements"
352424.85 6789035.55 "Vêtements"
351954.56 6789474.59 "Vêtements"
351866.11 6789524.03 "Vêtements"
351834.79 6789547.02 "Vêtements"
351890.81 6789006.43 "Vêtements"
353646.77 6787756.14 "Pharmacies"
351613.28 6789062.16 "Pharmacies"
351909.62 6788589.81 "Pharmacies"
352027.82 6789368.06 "Pharmacies"
352951.64 6789146.67 "Pharmacies"
351770.89 6789282.97 "Pharmacies"
351862.72 6790111.65 "Pharmacies"
351686.16 6788678.07 "Médecins"
349957.33 6790787.02 "Médecins"
349487.51 6788283.05 "Médecins"
353239.35 6791203.92 "Médecins"
349854.22 6790333.42 "Médecins"
353855.64 6792013.78 "Médecins"
351788.85 6788429.65 "Médecins"
353025.78 6792047.84 "Médecins"
353648.87 6791322.31 "Médecins"
351300.66 6790156.21 "Médecins"
351300.66 6790156.21 "Médecins"
349854.22 6790333.42 "Médecins"
351686.16 6788678.07 "Médecins"
351551.59 6788864.29 "Médecins"
351686.16 6788678.07 "Médecins"
350684.21 6788698.04 "Médecins"
351551.59 6788864.29 "Médecins"
350607.26 6786550.03 "Médecins"
350607.26 6786550.03 "Médecins"
349854.22 6790333.42 "Médecins"
351686.16 6788678.07 "Médecins"
353660.22 6792105.34 "Médecins"
351388.75 6787496.65 "Médecins"
351300.66 6790156.21 "Médecins"
351300.66 6790156.21 "Médecins"
351300.66 6790156.21 "Médecins"
353239.35 6791203.92 "Médecins"
351523.1 6790461.44 "Médecins"
350425.97 6791436 "Médecins"
350087.01 6790535.88 "Médecins"
352079.22 6786795.59 "Médecins"
351388.75 6787496.65 "Médecins"
352811.25 6786387.15 "Médecins"
353239.35 6791203.92 "Médecins"
349628.44 6788374.34 "Médecins"
352650.34 6788752.9 "Médecins"
352650.34 6788752.9 "Médecins"
350813.15 6791883.89 "Médecins"
351835.39 6788812.76 "Médecins"
351835.39 6788812.76 "Médecins"
349487.51 6788283.05 "Médecins"
351401.98 6789080.12 "Médecins"
350008.95 6789143.96 "Médecins"
349468.64 6790435.5 "Médecins"
349628.44 6788374.34 "Médecins"
349536.69 6790580.09 "Médecins"
353763.81 6789589.84 "Médecins"
352329.05 6786534.23 "Médecins"
351388.75 6787496.65 "Médecins"
355393.65 6791230.8 "Médecins"
349468.64 6790435.5 "Médecins"
351990.66 6788708.56 "Médecins"
351858.98 6789358.2 "Médecins"
351388.75 6787496.65 "Médecins"
351648.47 6789030.64 "Médecins"
352650.34 6788752.9 "Médecins"
353543.38 6789777.4 "Médecins"
349854.22 6790333.42 "Médecins"
352027.44 6788681.28 "Vêtements"
351737.55 6789199.8 "Vêtements"
351895.92 6789421.6 "Vêtements"
351894.53 6789393.63 "Vêtements"
352042.04 6789893.29 "Vêtements"
352034.29 6788858.36 "Vêtements"
352033.6 6788842.62 "Vêtements"
352027.44 6788681.28 "Vêtements"
352036.6 6788621 "Vêtements"
351902.45 6789369.84 "Vêtements"
351543.92 6786114.93 "Vêtements"
351776.39 6786095.29 "Vêtements"
351921.75 6789265.75 "Vêtements"
